ticker,last_price,update_date
DASHUSDT,36.9,11.11.2022 14:41:43
ICPUSDT,4.21,11.11.2022 14:41:43
KLAYUSDT,0.1855,11.11.2022 14:41:43
ONEUSDT,0.01565,11.11.2022 14:41:44
ALICEUSDT,1.25,11.11.2022 14:41:44
PEOPLEUSDT,0.0317,11.11.2022 14:41:44
SKLUSDT,0.02835,11.11.2022 14:41:45
IMXUSDT,0.473,11.11.2022 14:41:45
KNCUSDT,0.63,11.11.2022 14:41:45
RUNEUSDT,1.208,11.11.2022 14:41:45
ASTRUSDT,0.04,11.11.2022 14:41:46
EGLDUSDT,47.1,11.11.2022 14:41:46
GLMRUSDT,0.407,11.11.2022 14:41:46
FTTUSDT,3.39,11.11.2022 14:41:47
OMGUSDT,1.289,11.11.2022 14:41:47
GALUSDT,1.6,11.11.2022 14:41:47
CELOUSDT,0.505,11.11.2022 14:41:48
KAVAUSDT,0.999,11.11.2022 14:41:48
FLOWUSDT,1.32,11.11.2022 14:41:48
OGNUSDT,0.1122,11.11.2022 14:41:49
HOTUSDT,0.001704,11.11.2022 14:41:49
1INCHUSDT,0.5625,11.11.2022 14:41:49
BALUSDT,5.4,11.11.2022 14:41:49
MINAUSDT,0.601,11.11.2022 14:41:50
BNXUSDT,148.15,11.11.2022 14:41:50
SXPUSDT,0.24,11.11.2022 14:41:50
BAKEUSDT,0.1855,11.11.2022 14:41:51
CHRUSDT,0.1172,11.11.2022 14:41:51
COTIUSDT,0.0832,11.11.2022 14:41:51
ZRXUSDT,0.1919,11.11.2022 14:41:51
WOOUSDT,0.1349,11.11.2022 14:41:52
DODOUSDT,0.1233,11.11.2022 14:41:52
C98USDT,0.2235,11.11.2022 14:41:52
ENSUSDT,12.98,11.11.2022 14:41:53
RENUSDT,0.0848,11.11.2022 14:41:53
MASKUSDT,3.65,11.11.2022 14:41:53
ARUSDT,10.4,11.11.2022 14:41:54
BITUSD,0.327,11.11.2022 14:41:54
ANKRUSDT,0.0227,11.11.2022 14:41:54
ARPAUSDT,0.02875,11.11.2022 14:41:54
CELRUSDT,0.01225,11.11.2022 14:41:55
RSRUSDT,0.00445,11.11.2022 14:41:55
REEFUSDT,0.003695,11.11.2022 14:41:55
RVNUSDT,0.0239,11.11.2022 14:41:56
DENTUSDT,0.000716,11.11.2022 14:41:56
OCEANUSDT,0.1477,11.11.2022 14:41:56
RAYUSDT,0.27,11.11.2022 14:41:56
AUDIOUSDT,0.1655,11.11.2022 14:41:57
CVXUSDT,4.15,11.11.2022 14:41:57
ZENUSDT,10.55,11.11.2022 14:41:57
MTLUSDT,0.712,11.11.2022 14:41:58
LPTUSDT,7.75,11.11.2022 14:41:58
IOTXUSDT,0.02625,11.11.2022 14:41:58
STORJUSDT,0.3295,11.11.2022 14:41:58
CVCUSDT,0.0955,11.11.2022 14:41:58
INJUSDT,1.823,11.11.2022 14:41:59
LINAUSDT,0.00649,11.11.2022 14:41:59
TOMOUSDT,0.304,11.11.2022 14:41:59
XEMUSDT,0.0347,11.11.2022 14:42:00
AGLDUSDT,0.264,11.11.2022 14:42:00
ILVUSDT,49.3,11.11.2022 14:42:00
YGGUSDT,0.26,11.11.2022 14:42:00
SFPUSDT,0.3305,11.11.2022 14:42:01
GTCUSDT,2.005,11.11.2022 14:42:01
LITUSDT,0.783,11.11.2022 14:42:01
CTKUSDT,0.784,11.11.2022 14:42:01
API3USDT,1.632,11.11.2022 14:42:02
ACHUSDT,0.01058,11.11.2022 14:42:02
OPUSDT,1.0315,11.11.2022 14:42:02
ROSEUSDT,0.0515,11.11.2022 14:42:03
LDOUSDT,1.2535,11.11.2022 14:42:03
FLMUSDT,0.08505,11.11.2022 14:42:03
HNTUSDT,2.96,11.11.2022 14:42:03
ALPHAUSDT,0.0961,11.11.2022 14:42:04
SPELLUSDT,0.00072,11.11.2022 14:42:04
STGUSDT,0.4035,11.11.2022 14:42:04
SWEATUSDT,0.01525,11.11.2022 14:42:04
PAXGUSDT,1755.0,11.11.2022 14:42:05
LUNA2USDT,1.814,11.11.2022 14:42:05
APTUSDT,5.2,11.11.2022 14:42:05
GMXUSDT,34.81,11.11.2022 14:42:05
