Ticker,LastPrice,UpdateDate
ERNUSDT,1.59,27.09.2022 14:39:15
ATAUSDT,0.1422,27.09.2022 14:39:16
AVAXUSDT,18.12,27.09.2022 14:39:17
UNFIUSDT,6.738,27.09.2022 14:39:17
BNBUSDT,284.0,27.09.2022 14:39:17
ACMUSDT,3.892,27.09.2022 14:39:18
CTSIUSDT,0.1447,27.09.2022 14:39:18
ETHUPUSDT,3.579,27.09.2022 14:39:18
BNTUSDT,0.458,27.09.2022 14:39:19
DCRUSDT,25.7,27.09.2022 14:39:20
RLCUSDT,1.222,27.09.2022 14:39:20
SFPUSDT,0.3644,27.09.2022 14:39:20
LTCUSDT,55.09,27.09.2022 14:39:20
PERPUSDT,0.588,27.09.2022 14:39:21
ILVUSDT,60.5,27.09.2022 14:39:21
YFIUSDT,8809.0,27.09.2022 14:39:21
ARUSDT,10.02,27.09.2022 14:39:22
PEOPLEUSDT,0.02317,27.09.2022 14:39:22
KLAYUSDT,0.2079,27.09.2022 14:39:22
DENTUSDT,0.000959,27.09.2022 14:39:23
CELRUSDT,0.01605,27.09.2022 14:39:23
AXSUSDT,12.78,27.09.2022 14:39:23
TOMOUSDT,0.469,27.09.2022 14:39:23
BTCUSDT,20304.19,27.09.2022 14:39:24
RAYUSDT,0.59,27.09.2022 14:39:24
CELOUSDT,0.802,27.09.2022 14:39:24
STMXUSDT,0.007416,27.09.2022 14:39:25
SHIBUSDT,1.144e-05,27.09.2022 14:39:26
TFUELUSDT,0.0551,27.09.2022 14:39:26
VETUSDT,0.02371,27.09.2022 14:39:26
TRIBEUSDT,0.2236,27.09.2022 14:39:27
NEXOUSDT,0.937,27.09.2022 14:39:27
FIOUSDT,0.0438,27.09.2022 14:39:27
STGUSDT,0.5539,27.09.2022 14:39:28
BLZUSDT,0.0839,27.09.2022 14:39:29
FTTUSDT,25.04,27.09.2022 14:39:29
ANTUSDT,1.739,27.09.2022 14:39:29
HOTUSDT,0.002102,27.09.2022 14:39:30
HBARUSDT,0.0608,27.09.2022 14:39:30
ORNUSDT,1.079,27.09.2022 14:39:31
OGNUSDT,0.1499,27.09.2022 14:39:31
DEXEUSDT,3.062,27.09.2022 14:39:31
STEEMUSDT,0.2256,27.09.2022 14:39:32
AGLDUSDT,0.336,27.09.2022 14:39:32
CLVUSDT,0.08435,27.09.2022 14:39:32
CVXUSDT,5.011,27.09.2022 14:39:33
ONTUSDT,0.2277,27.09.2022 14:39:33
WOOUSDT,0.1451,27.09.2022 14:39:33
MCUSDT,0.672,27.09.2022 14:39:34
QTUMUSDT,2.987,27.09.2022 14:39:34
LPTUSDT,9.36,27.09.2022 14:39:34
XLMUSDT,0.1149,27.09.2022 14:39:34
NBSUSDT,0.00434,27.09.2022 14:39:35
JUVUSDT,5.28,27.09.2022 14:39:35
GRTUSDT,0.104,27.09.2022 14:39:35
SANDUSDT,0.8811,27.09.2022 14:39:36
MINAUSDT,0.61,27.09.2022 14:39:36
FORTHUSDT,4.78,27.09.2022 14:39:37
CHZUSDT,0.2597,27.09.2022 14:39:38
DUSKUSDT,0.1177,27.09.2022 14:39:39
SRMUSDT,0.788,27.09.2022 14:39:39
ARPAUSDT,0.03471,27.09.2022 14:39:39
REIUSDT,0.0312,27.09.2022 14:39:40
AUCTIONUSDT,6.7,27.09.2022 14:39:40
BONDUSDT,5.323,27.09.2022 14:39:40
SUPERUSDT,0.1289,27.09.2022 14:39:41
FTMUSDT,0.2357,27.09.2022 14:39:41
JSTUSDT,0.02567,27.09.2022 14:39:41
XTZUSDT,1.515,27.09.2022 14:39:41
ALPHAUSDT,0.111,27.09.2022 14:39:42
KAVAUSDT,1.536,27.09.2022 14:39:42
BETAUSDT,0.09543,27.09.2022 14:39:42
XVGUSDT,0.00328,27.09.2022 14:39:43
CHESSUSDT,0.264,27.09.2022 14:39:43
HIGHUSDT,1.387,27.09.2022 14:39:43
LINAUSDT,0.00736,27.09.2022 14:39:44
OXTUSDT,0.102,27.09.2022 14:39:44
ZRXUSDT,0.2763,27.09.2022 14:39:44
POLSUSDT,0.482,27.09.2022 14:39:45
MATICUSDT,0.7829,27.09.2022 14:39:45
COSUSDT,0.00603,27.09.2022 14:39:45
DODOUSDT,0.1267,27.09.2022 14:39:45
MASKUSDT,1.206,27.09.2022 14:39:46
POWRUSDT,0.2007,27.09.2022 14:39:46
YFIIUSDT,903.8,27.09.2022 14:39:46
BATUSDT,0.3094,27.09.2022 14:39:47
ETHUSDT,1396.49,27.09.2022 14:39:47
TRXUPUSDT,0.05137,27.09.2022 14:39:47
HNTUSDT,4.65,27.09.2022 14:39:48
FETUSDT,0.084,27.09.2022 14:39:48
CVCUSDT,0.1325,27.09.2022 14:39:48
WINUSDT,9.95e-05,27.09.2022 14:39:48
STPTUSDT,0.04292,27.09.2022 14:39:49
MOVRUSDT,11.04,27.09.2022 14:39:49
STXUSDT,0.335,27.09.2022 14:39:49
WANUSDT,0.1903,27.09.2022 14:39:50
VOXELUSDT,0.2682,27.09.2022 14:39:50
STORJUSDT,0.479,27.09.2022 14:39:50
ADAUSDT,0.4577,27.09.2022 14:39:51
BURGERUSDT,0.988,27.09.2022 14:39:51
BTGUSDT,21.83,27.09.2022 14:39:51
MDXUSDT,0.0624,27.09.2022 14:39:52
ALCXUSDT,21.0,27.09.2022 14:39:52
ZILUSDT,0.03257,27.09.2022 14:39:52
TUSDT,0.0307,27.09.2022 14:39:53
ARDRUSDT,0.0993,27.09.2022 14:39:54
SCUSDT,0.00358,27.09.2022 14:39:54
FUNUSDT,0.00745,27.09.2022 14:39:54
AVAUSDT,0.757,27.09.2022 14:39:54
TRXUSDT,0.06061,27.09.2022 14:39:55
OMUSDT,0.0434,27.09.2022 14:39:55
NKNUSDT,0.0926,27.09.2022 14:39:56
ELFUSDT,0.1333,27.09.2022 14:39:56
REPUSDT,7.19,27.09.2022 14:39:57
PNTUSDT,0.2633,27.09.2022 14:39:57
MOBUSDT,0.915,27.09.2022 14:39:57
FLOWUSDT,1.709,27.09.2022 14:39:58
NULSUSDT,0.1965,27.09.2022 14:39:58
GLMRUSDT,0.4754,27.09.2022 14:39:58
BUSDUSDT,1.0001,27.09.2022 14:39:59
DNTUSDT,0.043,27.09.2022 14:39:59
TKOUSDT,0.253,27.09.2022 14:39:59
ACHUSDT,0.01191,27.09.2022 14:40:00
OPUSDT,0.961,27.09.2022 14:40:00
IOSTUSDT,0.01219,27.09.2022 14:40:00
AUTOUSDT,238.5,27.09.2022 14:40:00
XEMUSDT,0.0409,27.09.2022 14:40:01
FARMUSDT,39.3,27.09.2022 14:40:01
CHRUSDT,0.1556,27.09.2022 14:40:01
LEVERUSDT,0.001841,27.09.2022 14:40:02
EGLDUSDT,47.87,27.09.2022 14:40:02
SLPUSDT,0.00342,27.09.2022 14:40:02
DEGOUSDT,1.622,27.09.2022 14:40:02
TLMUSDT,0.0221,27.09.2022 14:40:03
MTLUSDT,1.087,27.09.2022 14:40:03
ADAUPUSDT,1.022,27.09.2022 14:40:03
CFXUSDT,0.0439,27.09.2022 14:40:04
DIAUSDT,0.388,27.09.2022 14:40:04
CTKUSDT,0.892,27.09.2022 14:40:04
ANKRUSDT,0.03126,27.09.2022 14:40:04
TRXDOWNUSDT,1.252,27.09.2022 14:40:05
COCOSUSDT,0.6099,27.09.2022 14:40:05
UTKUSDT,0.1066,27.09.2022 14:40:05
BELUSDT,0.571,27.09.2022 14:40:06
ALPACAUSDT,0.3027,27.09.2022 14:40:06
KEYUSDT,0.004516,27.09.2022 14:40:06
AKROUSDT,0.00406,27.09.2022 14:40:07
LITUSDT,0.61,27.09.2022 14:40:07
WAVESUSDT,4.001,27.09.2022 14:40:08
BIFIUSDT,347.0,27.09.2022 14:40:08
CTXCUSDT,0.112,27.09.2022 14:40:09
IDEXUSDT,0.06308,27.09.2022 14:40:10
WAXPUSDT,0.0874,27.09.2022 14:40:10
ONGUSDT,0.3351,27.09.2022 14:40:12
LRCUSDT,0.3074,27.09.2022 14:40:12
IMXUSDT,0.771,27.09.2022 14:40:13
FRONTUSDT,0.2242,27.09.2022 14:40:14
BTTCUSDT,8e-07,27.09.2022 14:40:15
RADUSDT,2.029,27.09.2022 14:40:16
KDAUSDT,1.461,27.09.2022 14:40:17
UMAUSDT,2.401,27.09.2022 14:40:18
BEAMUSDT,0.1905,27.09.2022 14:40:19
FISUSDT,0.3272,27.09.2022 14:40:20
MANAUSDT,0.7194,27.09.2022 14:40:20
ICXUSDT,0.2448,27.09.2022 14:40:20
DARUSDT,0.21001,27.09.2022 14:40:21
CRVUSDT,0.97,27.09.2022 14:40:22
ENJUSDT,0.4787,27.09.2022 14:40:22
MBLUSDT,0.003533,27.09.2022 14:40:23
GHSTUSDT,1.187,27.09.2022 14:40:24
RUNEUSDT,1.659,27.09.2022 14:40:24
AMPUSDT,0.00495,27.09.2022 14:40:24
YGGUSDT,0.3871,27.09.2022 14:40:24
PLAUSDT,0.323,27.09.2022 14:40:25
GNOUSDT,128.5,27.09.2022 14:40:25
ETHDOWNUSDT,1.0002,27.09.2022 14:40:25
QIUSDT,0.01,27.09.2022 14:40:26
QUICKUSDT,57.5,27.09.2022 14:40:26
NMRUSDT,15.21,27.09.2022 14:40:27
BTCSTUSDT,8.95,27.09.2022 14:40:27
XNOUSDT,0.792,27.09.2022 14:40:28
TWTUSDT,0.9286,27.09.2022 14:40:28
ADADOWNUSDT,0.004322,27.09.2022 14:40:29
DFUSDT,0.0327,27.09.2022 14:40:29
VTHOUSDT,0.001438,27.09.2022 14:40:29
IRISUSDT,0.01895,27.09.2022 14:40:29
TVKUSDT,0.0349,27.09.2022 14:40:30
TROYUSDT,0.003738,27.09.2022 14:40:30
PAXGUSDT,1631.0,27.09.2022 14:40:30
MLNUSDT,20.1,27.09.2022 14:40:31
MULTIUSDT,4.34,27.09.2022 14:40:31
BALUSDT,5.564,27.09.2022 14:40:31
GTCUSDT,1.842,27.09.2022 14:40:31
AUDIOUSDT,0.224,27.09.2022 14:40:32
ETCUSDT,29.46,27.09.2022 14:40:32
OOKIUSDT,0.00503,27.09.2022 14:40:33
PHAUSDT,0.0918,27.09.2022 14:40:33
VIDTUSDT,0.2701,27.09.2022 14:40:33
TRUUSDT,0.0548,27.09.2022 14:40:34
MBOXUSDT,0.636,27.09.2022 14:40:34
MITHUSDT,0.02153,27.09.2022 14:40:34
LTOUSDT,0.078,27.09.2022 14:40:35
FIROUSDT,2.871,27.09.2022 14:40:35
MIRUSDT,0.21449,27.09.2022 14:40:35
APEUSDT,5.738,27.09.2022 14:40:35
GTOUSDT,0.02015,27.09.2022 14:40:36
PONDUSDT,0.01088,27.09.2022 14:40:36
AUDUSDT,0.6485,27.09.2022 14:40:36
LOKAUSDT,0.522,27.09.2022 14:40:37
CKBUSDT,0.00393,27.09.2022 14:40:37
STRAXUSDT,0.516,27.09.2022 14:40:37
BNXUSDT,154.3,27.09.2022 14:40:38
EURUSDT,0.9642,27.09.2022 14:40:38
REQUSDT,0.1049,27.09.2022 14:40:38
BSWUSDT,0.2798,27.09.2022 14:40:39
MDTUSDT,0.02545,27.09.2022 14:40:39
SCRTUSDT,1.0,27.09.2022 14:40:39
GALAUSDT,0.04176,27.09.2022 14:40:39
ALICEUSDT,1.762,27.09.2022 14:40:40
WINGUSDT,9.08,27.09.2022 14:40:40
SPELLUSDT,0.0010547,27.09.2022 14:40:40
AIONUSDT,0.03951,27.09.2022 14:40:41
CVPUSDT,0.3282,27.09.2022 14:40:41
WNXMUSDT,14.85,27.09.2022 14:40:41
SNXUSDT,2.383,27.09.2022 14:40:42
HIVEUSDT,0.4995,27.09.2022 14:40:42
GBPUSDT,1.082,27.09.2022 14:40:42
MFTUSDT,0.004959,27.09.2022 14:40:42
BICOUSDT,0.429,27.09.2022 14:40:43
FLUXUSDT,0.907,27.09.2022 14:40:43
LDOUSDT,1.714,27.09.2022 14:40:44
RAREUSDT,0.166,27.09.2022 14:40:44
DREPUSDT,0.5325,27.09.2022 14:40:45
JASMYUSDT,0.006997,27.09.2022 14:40:45
EOSUSDT,1.216,27.09.2022 14:40:45
FIDAUSDT,0.4057,27.09.2022 14:40:46
TCTUSDT,0.00724,27.09.2022 14:40:46
NEARUSDT,3.775,27.09.2022 14:40:47
BNBDOWNUSDT,0.0408,27.09.2022 14:40:47
BTCDOWNUSDT,0.03164,27.09.2022 14:40:48
TORNUSDT,6.92,27.09.2022 14:40:48
ANCUSDT,0.09518,27.09.2022 14:40:48
ATOMUSDT,14.421,27.09.2022 14:40:48
C98USDT,0.3623,27.09.2022 14:40:49
BADGERUSDT,3.68,27.09.2022 14:40:49
DOCKUSDT,0.0216,27.09.2022 14:40:49
RVNUSDT,0.03844,27.09.2022 14:40:49
SUNUSDT,0.00509,27.09.2022 14:40:50
LUNCUSDT,0.00028225,27.09.2022 14:40:50
FORUSDT,0.01909,27.09.2022 14:40:51
ACAUSDT,0.2011,27.09.2022 14:40:51
PUNDIXUSDT,0.495,27.09.2022 14:40:52
LUNAUSDT,2.5794,27.09.2022 14:40:52
HARDUSDT,0.1971,27.09.2022 14:40:52
VITEUSDT,0.02488,27.09.2022 14:40:53
KNCUSDT,1.194,27.09.2022 14:40:53
PERLUSDT,0.02116,27.09.2022 14:40:53
DOTDOWNUSDT,13.4,27.09.2022 14:40:54
FXSUSDT,4.303,27.09.2022 14:40:54
LINKDOWNUSDT,0.005156,27.09.2022 14:40:55
XRPDOWNUSDT,0.0003118,27.09.2022 14:40:55
